"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"03-Jan-2022","    17654.45","    17894.15","    17651.45","    17874.00","      575683312","        21144.43"
"04-Jan-2022","    17934.50","    18051.50","    17831.50","    18030.95","      674492688","        24882.48"
"05-Jan-2022","    18044.30","    18164.70","    17974.90","    18147.50","      789824157","        31237.94"
"06-Jan-2022","    17997.60","    18025.25","    17889.75","    17985.60","      550858346","        29011.07"
"07-Jan-2022","    18035.70","    18140.85","    17944.40","    18053.95","      591465718","        28020.37"
"10-Jan-2022","    18146.20","    18243.25","    18109.75","    18229.10","      543921895","        27160.04"
"11-Jan-2022","    18225.70","    18295.00","    18181.40","    18275.15","      569932171","        28895.50"
"12-Jan-2022","    18390.85","    18443.80","    18346.95","    18430.25","      492317459","        30033.47"
"13-Jan-2022","    18478.55","    18495.65","    18385.00","    18482.45","      643144164","        35865.39"
"14-Jan-2022","    18411.20","    18515.10","    18348.40","    18485.70","      454768633","        27817.29"
"17-Jan-2022","    18471.60","    18553.40","    18456.55","    18543.20","      480741724","        30342.88"
"18-Jan-2022","    18577.70","    18595.15","    18302.95","    18331.70","      542803602","        30424.25"
"19-Jan-2022","    18349.55","    18349.55","    18114.85","    18179.70","      623258579","        35196.24"
"20-Jan-2022","    18168.25","    18187.60","    17915.75","    18021.10","      514640853","        33976.91"
"21-Jan-2022","    17882.35","    17953.60","    17721.30","    17856.15","      584307648","        34657.04"
"24-Jan-2022","    17821.55","    17841.40","    17197.00","    17353.45","      824077868","        38721.80"
"25-Jan-2022","    17200.40","    17519.60","    17030.45","    17489.15","      697193637","        40590.29"
"27-Jan-2022","    17281.70","    17376.85","    17069.75","    17302.35","      870932337","        47574.60"
"28-Jan-2022","    17405.55","    17587.60","    17289.20","    17314.70","      753065462","        38478.22"
"31-Jan-2022","    17516.90","    17623.25","    17479.65","    17547.40","      643934374","        33612.85"
"01-Feb-2022","    17731.55","    17826.15","    17464.25","    17796.25","      851158008","        39287.21"
"02-Feb-2022","    17920.05","    18012.25","    17889.15","    17998.75","      654342247","        31702.97"
"03-Feb-2022","    17985.10","    17996.30","    17749.40","    17794.70","      582898924","        28730.91"
"04-Feb-2022","    17826.25","    17858.20","    17701.20","    17755.30","      625558256","        28816.69"
"07-Feb-2022","    17710.05","    17791.70","    17382.80","    17477.65","      792391604","        31740.46"
"08-Feb-2022","    17543.20","    17572.70","    17298.35","    17509.80","      761377909","        32643.62"
"09-Feb-2022","    17612.55","    17720.90","    17583.00","    17707.85","      546252731","        26859.49"
"10-Feb-2022","    17794.00","    17869.10","    17665.70","    17842.90","      623070495","        30764.24"
"11-Feb-2022","    17694.40","    17696.95","    17541.65","    17606.60","      552477065","        30510.64"
"14-Feb-2022","    17293.10","    17318.45","    17026.40","    17060.70","      675019407","        33199.18"
"15-Feb-2022","    17147.90","    17582.90","    17037.60","    17560.55","      653393865","        32898.01"
"16-Feb-2022","    17626.25","    17706.10","    17481.65","    17530.65","      525193322","        27626.91"
"17-Feb-2022","    17608.45","    17657.10","    17457.20","    17524.45","      481500002","        25243.97"
