"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"03-Jan-2022","    15030.50","    15220.05","    15028.55","    15204.60","     1711743989","        39006.14"
"04-Jan-2022","    15260.90","    15333.60","    15168.15","    15318.75","     1992560514","        45907.56"
"05-Jan-2022","    15329.75","    15410.60","    15264.85","    15396.40","     1880757237","        52030.71"
"06-Jan-2022","    15275.75","    15315.50","    15197.10","    15290.10","     1835765443","        49115.53"
"07-Jan-2022","    15333.45","    15418.40","    15255.45","    15348.55","     1831250781","        50557.60"
"10-Jan-2022","    15427.65","    15504.00","    15400.55","    15495.55","     1742165362","        48504.71"
"11-Jan-2022","    15497.50","    15559.10","    15462.05","    15530.55","     3859562035","        53943.53"
"12-Jan-2022","    15627.05","    15678.70","    15595.65","    15667.90","     2465729163","        52965.13"
"13-Jan-2022","    15710.30","    15730.95","    15629.45","    15721.05","     1886097035","        57199.86"
"14-Jan-2022","    15667.95","    15754.45","    15619.55","    15730.40","     1578334741","        50858.15"
"17-Jan-2022","    15731.35","    15794.95","    15718.25","    15781.25","     1676707252","        51494.76"
"18-Jan-2022","    15819.45","    15834.20","    15546.65","    15573.10","     1865876457","        53124.18"
"19-Jan-2022","    15580.40","    15580.40","    15403.20","    15472.50","     1809243947","        57601.18"
"20-Jan-2022","    15464.45","    15486.15","    15280.55","    15361.10","     1452364959","        54475.27"
"21-Jan-2022","    15252.90","    15294.70","    15069.05","    15180.80","     1624156698","        58204.78"
"24-Jan-2022","    15155.00","    15165.40","    14577.15","    14712.05","     2092790883","        62768.43"
"25-Jan-2022","    14577.55","    14853.00","    14410.90","    14832.20","     2059618896","        64499.34"
"27-Jan-2022","    14671.70","    14735.75","    14489.80","    14679.70","     2247371180","        72167.81"
"28-Jan-2022","    14773.05","    14952.15","    14701.60","    14723.25","     2108354405","        62900.16"
"31-Jan-2022","    14894.75","    14975.80","    14857.55","    14921.45","     1701833595","        53886.98"
"01-Feb-2022","    15073.15","    15138.20","    14850.30","    15116.20","     2290902168","        62980.23"
"02-Feb-2022","    15218.25","    15304.60","    15201.45","    15293.35","     1979267946","        52109.16"
"03-Feb-2022","    15289.15","    15296.35","    15101.00","    15135.90","     1718538295","        49653.03"
"04-Feb-2022","    15159.60","    15188.40","    15048.35","    15085.45","     1700283517","        48664.68"
"07-Feb-2022","    15065.05","    15126.65","    14796.20","    14870.60","     1777758185","        50492.38"
"08-Feb-2022","    14926.50","    14955.25","    14689.15","    14857.05","     1793708441","        52368.72"
"09-Feb-2022","    14942.75","    15026.50","    14925.05","    15016.35","     1413173419","        44543.31"
"10-Feb-2022","    15084.35","    15134.10","    14972.35","    15112.20","     1675851554","        48672.97"
"11-Feb-2022","    14988.95","    14990.60","    14862.05","    14891.30","     1399113736","        47828.54"
"14-Feb-2022","    14606.55","    14638.65","    14370.70","    14400.40","     1733846850","        52734.06"
"15-Feb-2022","    14469.00","    14822.75","    14348.40","    14805.55","     1813119349","        52618.37"
"16-Feb-2022","    14876.65","    14935.60","    14756.50","    14789.90","     1468717194","        44891.86"
"17-Feb-2022","    14857.10","    14895.65","    14725.05","    14772.05","     1173686803","        39296.63"
"18-Feb-2022","    14711.30","    14815.00","    14692.65","    14710.70","     1107629373","        33912.69"
"21-Feb-2022","    14638.35","    14733.10","    14498.20","    14597.10","     1685206945","        41360.43"
"22-Feb-2022","    14269.45","    14527.20","    14267.60","    14489.05","     1789782510","        50396.16"
"23-Feb-2022","    14581.05","    14629.05","    14482.30","    14506.95","     1359046090","        38951.88"
"24-Feb-2022","    14055.85","    14180.85","    13747.45","    13775.70","     2896660329","        75653.90"
"25-Feb-2022","    14018.10","    14247.05","    14007.70","    14187.40","     2082555257","        54706.24"
"28-Feb-2022","    14047.75","    14320.95","    13928.80","    14307.95","     2039609404","        62504.81"
"02-Mar-2022","    14161.70","    14265.50","    14104.75","    14199.80","     1960825495","        66290.37"
"03-Mar-2022","    14327.70","    14364.60","    14094.30","    14135.95","     1981292495","        59287.17"
"04-Mar-2022","    14020.20","    14075.00","    13828.45","    13893.15","     2163358448","        63248.32"
