"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"07-Mar-2022","    13594.75","    13637.50","    13438.30","    13564.25","     2132125281","        65001.68"
"08-Mar-2022","    13504.75","    13720.10","    13423.55","    13706.75","     1986681475","        66754.87"
"09-Mar-2022","    13786.40","    14037.65","    13721.95","    13979.60","     1863587266","        62669.26"
"10-Mar-2022","    14313.20","    14316.80","    14079.85","    14189.00","     1946810503","        67367.68"
"11-Mar-2022","    14145.50","    14268.30","    14098.70","    14237.15","     1529739344","        52279.33"
"14-Mar-2022","    14248.90","    14389.35","    14189.10","    14374.60","     1450414963","        52485.63"
"15-Mar-2022","    14408.75","    14433.75","    14130.90","    14215.85","     1766275769","        60067.46"
"16-Mar-2022","    14392.55","    14491.45","    14369.50","    14481.80","     1284516904","        46978.09"
"17-Mar-2022","    14667.20","    14756.55","    14644.75","    14721.70","     2600172827","        76084.90"
"21-Mar-2022","    14773.05","    14789.85","    14590.70","    14602.35","     1498216639","        50811.88"
"22-Mar-2022","    14613.10","    14738.15","    14492.25","    14724.05","     1520859061","        53604.32"
"23-Mar-2022","    14806.60","    14833.30","    14660.45","    14695.15","     1679968615","        53305.49"
"24-Mar-2022","    14598.75","    14744.70","    14595.70","    14699.35","     1609080043","        51907.08"
"25-Mar-2022","    14763.90","    14768.30","    14590.45","    14651.70","     1396675558","        48378.72"
"28-Mar-2022","    14686.25","    14694.85","    14515.65","    14675.85","     1547370762","        50067.99"
"29-Mar-2022","    14744.05","    14773.15","    14689.60","    14761.90","     1722624126","        48744.91"
"30-Mar-2022","    14880.70","    14924.75","    14823.55","    14896.90","     2148589897","        63379.17"
"31-Mar-2022","    14925.55","    14963.40","    14871.00","    14894.50","     1815251648","        57574.09"
"01-Apr-2022","    14890.10","    15111.35","    14882.60","    15087.30","     1854339950","        50717.36"
"04-Apr-2022","    15192.80","    15393.35","    15184.70","    15384.20","     1956545495","        68815.60"
"05-Apr-2022","    15433.05","    15477.80","    15360.20","    15390.50","     1870375947","        64442.11"
"06-Apr-2022","    15318.15","    15387.40","    15293.85","    15327.90","     2840470400","        64308.15"
"07-Apr-2022","    15292.35","    15361.20","    15185.70","    15201.25","     3302836546","        68063.89"
"08-Apr-2022","    15271.35","    15386.10","    15202.50","    15342.40","     2385268764","        60265.87"
"11-Apr-2022","    15337.50","    15386.85","    15294.30","    15325.50","     1750682873","        52303.60"
"12-Apr-2022","    15281.85","    15283.35","    15078.45","    15164.70","     1771383713","        58239.54"
"13-Apr-2022","    15239.65","    15284.70","    15126.65","    15138.55","     1388505488","        45901.90"
"18-Apr-2022","    14942.60","    14971.50","    14821.25","    14926.05","     1668247374","        60047.19"
"19-Apr-2022","    15012.75","    15041.65","    14617.05","    14726.65","     1855369225","        67306.28"
"20-Apr-2022","    14807.15","    14905.25","    14747.95","    14850.30","     1463035590","        52661.90"
"21-Apr-2022","    14946.30","    15067.45","    14929.15","    15053.95","     1436607750","        52993.51"
"22-Apr-2022","    14948.10","    15015.35","    14875.80","    14894.85","     1486943550","        53664.31"
"25-Apr-2022","    14758.60","    14769.10","    14623.10","    14673.00","     1525996866","        48734.05"
"26-Apr-2022","    14818.80","    14915.35","    14785.85","    14898.35","     1357486732","        48335.02"
"27-Apr-2022","    14797.35","    14825.55","    14678.95","    14756.00","     1542960449","        51582.19"
"28-Apr-2022","    14886.50","    14964.60","    14765.85","    14913.90","     1613145949","        54878.90"
"29-Apr-2022","    14991.45","    15011.70","    14743.35","    14783.35","     1609557502","        57710.45"
